outer,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,inner_cycles,pre_sweeps,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,num_groups,coarse_dim
0,812.7548653692855,28.864061942407687,35.21772553446426,0.4957170624640948,,,,,,,,,
1,85.68340184663509,19.814001331917048,22.06933189285244,0.15850017774744643,10,50,160.91280403673747,160.9546229766807,0.0006002302884664356,1.520187911534838e-12,0.17802125878413602,3,12
2,26.785128106592104,20.170075584952514,22.674049307441955,0.15312849536017678,10,50,13.281592080263687,22.65873660859658,0.6188072864446411,1.5038316162410176e-13,0.41634057742786745,3,12
3,26.774144788727206,20.70277237109517,23.236343762212563,0.15458901270029582,10,50,5.221220516648654,14.092611834059193,0.6370829938559449,9.702073533993392e-14,0.27024454853176505,3,12
4,26.77196946962209,21.02796274524132,23.570612523444037,0.1549170889033873,10,50,3.4699392340387276,8.973074277692358,0.6668573088282745,6.774904232076438e-14,0.1806342145851901,3,12
5,26.77111997822376,21.230495802286164,23.771989474630114,0.15469794533247483,10,50,2.4810857011783436,5.979169669026752,0.7902084245487372,4.1466919199183186e-14,0.12898270552921703,3,12
6,26.77082808540748,21.35891460393755,23.8940910232558,0.1542107372540062,10,50,1.8986942243776566,4.723332907169427,1.0248216398251113,4.7732245903740474e-14,0.1048487041999965,3,12
7,26.770784638585397,21.442307347116316,23.96886531449605,0.15361014300874457,10,50,1.534590313141274,4.840901405513559,1.1628851962650821,3.008253272857043e-14,0.09970345016913744,3,12
8,26.77085729399056,21.498121913121892,24.015352609956178,0.15298228969699237,10,50,1.2851609318682922,5.630741048192264,1.1711250910428628,4.872248293462663e-14,0.1048981151926164,3,12
9,26.770984806981414,21.536825083174,24.044871197772064,0.15237305146984667,10,50,1.0981706758900043,6.593972230724086,1.143475702483,4.916764121518299e-14,0.11419801768948679,3,12
10,26.77113640879314,21.56471010516205,24.064143270690323,0.15180528734652107,10,50,0.9481197655873012,7.539788199981479,1.1152466391849918,6.041779995156525e-14,0.124505967964167,3,12
11,26.771295526147174,21.5856081904292,24.077190489165815,0.15128880295421168,10,50,0.8227813939481777,8.408644732585229,1.0924892566693087,8.214316481506463e-14,0.13452587516221737,3,12
12,26.77145295909443,21.601831366381994,24.08637683284927,0.15082579287395245,10,50,0.7157991023223759,9.185814382883407,1.074908885464018,5.841398865616954e-14,0.14376272780421476,3,12
13,26.77160349937638,21.61482970762944,24.09313621424129,0.15041469917266628,10,50,0.6234876010821729,9.873300063656325,1.0613028479627136,7.368608129290793e-14,0.15208112486376307,3,12
14,26.771744352802955,21.62550558655457,24.09831834399554,0.1500519776526425,10,50,0.5433937994859951,10.477864277544855,1.0506503854785973,6.707675487385475e-14,0.1594792348546508,3,12
15,26.771874192665717,21.63444298050893,24.102438481557016,0.14973317983755113,10,50,0.47375903920014933,11.00743316614058,1.0421997513841688,9.232439943170632e-14,0.16600894518419912,3,12
16,26.771992560416628,21.642037974245408,24.10582268541311,0.14945383512442437,10,50,0.4130671442676347,11.471241484906276,1.035397706223573,8.180104824316235e-14,0.17175893329889913,3,12
17,26.77209961539694,21.64854979195124,24.108659432771116,0.14920946051256218,10,50,0.3601988968605272,11.876350305474798,1.0298689957379097,8.705149495576878e-14,0.17680104836207233,3,12
18,26.772195788435848,21.654167340447984,24.111074360704855,0.1489960294763633,10,50,0.3139550772203292,12.231654203983348,1.0253115549332092,9.637782012975525e-14,0.18123723243137516,3,12
19,26.772281805577624,21.659045434407243,24.113161536225125,0.14880963445162904,10,50,0.27386283510503934,12.539605610779821,1.0215572711171288,1.0171191167362976e-13,0.18509063223829464,3,12
20,26.77235843093205,21.663284328659056,24.11496933075876,0.14864697267652602,10,50,0.2388184681320216,12.809170008111156,1.0184170554744625,8.400490717360455e-14,0.18847038785718168,3,12
